Título,Preço,Área,Preço por m²,Detalhes,Descrição 1,Descrição 2,Descrição 3
"SQSW 500 Bloco R
                                    SUDOESTE, BRASILIA",,139,Preço ou área indisponível,"139 m²

3 quartos

1 planta",Preciosidade em cada detalhe,Descrição não encontrada,Apartamento 139 m²
"SQNW 110 Bloco D, NOROESTE, BRASILIA",3800000,262,"14.503,82","262 m²


4 Quartos


3 Suítes


3 Vagas",SQNW 110 Bloco D Cobertura 4 Quartos a Venda no Noroeste,"Eixo W Imobiliária vende Cobertura luxuosa no Noroeste | SQNW 110 Bloco D



Esta incrível cobertura duplex foi projetad... 10/12/24",Venda Apartamento 262 m²
"SQN 216, ASA NORTE, BRASILIA",870000,70,"12.428,57","70 m²


2 Quartos","Apartamento 2 Quartos, Reformado, Vista Livre !","Apartamento dos Sonhos: 2 Quartos, 70m², Reformado, Vista Livre e Arborizado! 

Observação: As fotos 3, 5, 12, 16 e 21 s... 10/12/24",Venda Apartamento 70 m²
"SQNW 303, NOROESTE, BRASILIA",3490000,204,"17.107,84","204 m²


3 Quartos


3 Suítes


4 Vagas",", MY DESIGN NOVO E REFORMADO: 205 M2, COM 3 SUÍTES E 4 VAGAS DE GARAGEM",Este lindo apartamento na SQNW 303 com arquitetura assinada pelas renomadas Liê Arquitetas (@lie.arquitetas) e todo com ... 10/12/24,Venda Apartamento 204 m²
"SMAS Trecho 3 Lote 7
                                    PARK SUL, BRASILIA",810248,57,"14.214,88","57 a 122 m²

2 quartos

2 plantas",Ao sul da Asa Sul,Descrição não encontrada,Apartamento 57 a 122 m²
"SQN 104 Bloco K, ASA NORTE, BRASILIA",1690000,125,"13.520,00","125 m²


3 Quartos


1 Suíte","Vista livre, andar alto,  claro, arejado, reformado.","Kontá imóveis: perto de você!

Apartamento incrível no início da Asa Norte. Um apartamento com 125m, cheio de predicados... 10/12/24",Venda Apartamento 125 m²
"SQNW 303, NOROESTE, BRASILIA",4500000,205,"21.951,22","205 m²


3 Quartos


3 Suítes


4 Vagas",", MY DESIGN NOVO, LINDO E MOBILIADO: 205 M2, COM 3 SUÍTES, ESCRITÓRIO E 4 VAGAS DE GARAGEM","Descubra o prazer de viver neste lindo apartamento na SQNW 303, com arquitetura assinada pelas renomadas Liê Arquitetas ... 10/12/24",Venda Apartamento 205 m²
"SQSW 300 Bloco L, SUDOESTE, BRASILIA",2650000,179,"14.804,47","179 m²


4 Quartos


3 Suítes


2 Vagas",REFORMADO  MEIO DE QUADRA SQSW 300 BLOCO L REFORMADO MEIO DE QUADRA,"EXCLUSIVIDADE DE VENDA
SQSW 300 - ED. VALADARES GONTIJO - COM 179 m ² DE ÁREA PRIVATIVA

EDIFICIO LOCALIZADO NO INTERIO... 10/12/24",Venda Apartamento 179 m²
"SQNW 106 Bloco C
                                    NOROESTE, BRASILIA",3102975,200,"15.514,88","200 a 430 m²

4 quartos

2 plantas",O melhor 4 suítes c/ 4 vagas do Noroeste,Descrição não encontrada,Apartamento 200 a 430 m²
"SQSW 304, SUDOESTE, BRASILIA",1260000,87,"14.482,76","87 m²


3 Quartos


1 Suíte


1 Vaga",APARTAMENTO 3 QUARTOS COM LOCALIZAÇÃO PRIVILEGIADA NO SUDOESTE,"OPORTUNIDADE NA SQSW 304 - 03 QUARTOS, SENDO 1 SUÍTE

Apartamento no Sudoeste com excelente planta.
A sala possui dois a... 10/12/24",Venda Apartamento 87 m²
"SQNW 303, NOROESTE, BRASILIA",3575000,205,"17.439,02","205 m²


3 Quartos


3 Suítes


4 Vagas",", My Design NOVO E REFORMADO: 205 M2, COM 3 SUÍTES E 4 VAGAS DE GARAGEM",Este lindo apartamento na SQNW 303 com arquitetura assinada pelas renomadas Liê Arquitetas (@lie.arquitetas) e todo com ... 10/12/24,Venda Apartamento 205 m²
"SHIS QI 15, LAGO SUL, BRASILIA",7500000,600,"12.500,00","600 m²


4 Quartos


4 Suítes


3 Vagas",CASA DESLUMBRANTE SHIS QI 15,"CASA DESLUMBRANTE NO CORAÇÃO DO LAGO SUL

Descubra o encanto único desta residência de alto padrão, onde o luxo se une à... 10/12/24",Venda Casa 600 m²
"SQSW 500 Bloco V
                                    SUDOESTE, BRASILIA",,211,Preço ou área indisponível,"211 a 317 m²

4 quartos

2 plantas","Quanto mais raro, mais valorizado!",Descrição não encontrada,Apartamento 211 a 317 m²
"SHIS QI 5 Chacará s 53 a 61, LAGO SUL, BRASILIA",7500000,0.07,"107.142.857,14","0,07 ha


3 Quartos


3 Suítes


15 Vagas",SHIS QI 5 CASA DOS SONHOS LOCALIZAÇÃO PRIVILEGIADA,"SHIS QI 5 CASA DOS SONHOS LOCALIZAÇÃO PRIVILEGIADA
15% de desconto para essa belíssimo casa que vale 7.5 milhões, agora ... 10/12/24","Venda Rural 0,07 ha"
"SQS 313 Bloco H, ASA SUL, BRASILIA",3200000,209,"15.311,00","209 m²


4 Quartos


2 Suítes


2 Vagas",Venda Apartamento 4 quartos Asa Sul Brasília,"Apartamento de alto padrão - SQS 313
 
Bem-vindo a este imóvel regado de tranquilidade. É perfeito para quem procura um ... 10/12/24",Venda Apartamento 209 m²
"Condomínio Resid Jardins do Lago Quadra 1, JARDIM BOTANICO, BRASILIA",5400000,530,"10.188,68","530 m²


4 Quartos


4 Suítes


4 Vagas",Resid Jardins do Lago  Belíssima Casa 4 Quartos à Venda no Jardim Botânico - Condomínio Fechado - Escritura e habite-se,"Eixo W Imobiliária vende casa com escritura e habite-se no Jardins do Lago quadra 1:



Imagine viver em uma residência ... 10/12/24",Venda Casa Condominio 530 m²
"SQNW 304 Bloco D
                                    NOROESTE, BRASILIA",3417526,227,"15.055,18","227 a 229 m²

3 quartos

2 plantas",A sua casa é a sua essência,Descrição não encontrada,Apartamento 227 a 229 m²
"Condomínio Le Jardin, JARDIM BOTANICO, BRASILIA",1590000,298,"5.335,57","298 m²


4 Quartos


4 Suítes


2 Vagas","Casa Moderna com 4 Suítes no Condomínio Le Jardin, no Jardim Botânico, com novo preço de R$ 1.590.00","Bem-vindo ao seu novo lar no renomado Condomínio ""Le Jardin1"", no Jardim Botânico, uma das áreas mais desejadas de Brasí... 10/12/24",Venda Casa Condominio 298 m²
"SQNW 309 Bloco F, NOROESTE, BRASILIA",2520000,150,"16.800,00","150 m²


3 Quartos


1 Suíte


3 Vagas",,"Kontá Imóveis: Perto de você!

EXCLUSIVIDADE!

Apartamento com reforma de altíssimo padrão à venda na SQNW 309, quadra c... 10/12/24",Venda Apartamento 150 m²
"Condomínio Ouro Vermelho II, JARDIM BOTANICO, BRASILIA",1500000,259,"5.791,51","259 m²


4 Quartos


4 Suítes


2 Vagas",OURO VERMELHO 2,"OURO VERMELHO 2
 
Casa com estilo único, vista definitiva, edificada em terreno de 1000m²;, todo fechado, com área verde... 10/12/24",Venda Casa Condominio 259 m²
"SQNW 307 Bloco F
                                    NOROESTE, BRASILIA",,163,Preço ou área indisponível,"163 m²

2 quartos

1 planta",Viva seu melhor momento!,Descrição não encontrada,Apartamento 163 m²
"SHIN QI 13, LAGO NORTE, BRASILIA",4200000,300,"14.000,00","300 m²


2 Quartos


2 Suítes


4 Vagas","EXCLUSIVA LINDA CASA TERREA, LAGO NORTE, NOVA, LAZER E CONFORTO!","EXCLUSIVA LINDA CASA TÉRREA, LAGO NORTE, NOVA, LAZER E CONFORTO!

Localizada no bairro residencial Lago Norte, mais tran... 10/12/24",Venda Casa 300 m²
"SHIN QI 12, LAGO NORTE, BRASILIA",3290000,398,"8.266,33","398 m²


4 Quartos


4 Suítes


6 Vagas",SHIN QI 12 - CASA TÉRREA COM 04 SUÍTES MODERNA NO LAGO NORTE,"SHIN QI 12 - CASA TÉRREA COM 04 SUÍTES MODERNA NO LAGO NORTE.


Projeto Exclusivo de Lauro Rocha - Residência Térrea com... 10/12/24",Venda Casa 398 m²
"SMPW Quadra 23, PARK WAY, BRASILIA",3599000,625,"5.758,40","625 m²


4 Quartos


4 Suítes


4 Vagas",SMPW - Park Way - Casa térrea,"SMPW - Park Way - Alto padrão
 
Uma casa térrea e funcional que une requinte e conforto, excelente oportunidade de viver... 10/12/24",Venda Casa 625 m²
"SQNW 311 Bloco H
                                    NOROESTE, BRASILIA",,103,Preço ou área indisponível,"103 a 202 m²

2 a 3 quartos

2 plantas",,Descrição não encontrada,Apartamento 103 a 202 m²
"SQNW 102, NOROESTE, BRASILIA",6500000,339,"19.174,04","339 m²


3 Quartos


3 Suítes


4 Vagas","Totalmente reformada, mobiliada e decorada.","VILLA150321 - Última atualização: 09/12/24 23:31
Deslumbrante Duplex de 340m² com acabamento de Luxo.

Este exclusivo ap... 10/12/24",Venda Apartamento 339 m²
"SHIS QL 16, LAGO SUL, BRASILIA",9800000,837,"11.708,48","837 m²


5 Quartos


5 Suítes


4 Vagas",SHIS QL 16 - SEU REFÚGIO PARTICULAR!,"Imagine se morando numa casa com 837m2 de área construída com toda praticidade, harmoniosa distribuição dos ambientes, ó... 10/12/24",Venda Casa 837 m²
"SQSW 300, SUDOESTE, BRASILIA",2380000,147,"16.190,48","147 m²


4 Quartos


2 Suítes


2 Vagas","SQSW 300 - SUDOESTE, REFORMADO, ACEITA FINANCIAMENTO, LUXUOSO APARTAMENTO.","DALEPRANE IMÓVEIS: A IMOBILIÁRIA Nº 1 EM VENDAS DE APARTAMENTOS NO PLANO PILOTO E AGUAS CLARAS VENDE : 

CORRETOR RESPON... 10/12/24",Venda Apartamento 147 m²
